# шкаф;l1;l2;lo;система
1980;2;25;27;104(2) 969(2) 1170(2) 1231(2) 2205(1) 2687(2) 3199(2) 4104(2) 4115(2) 4677(2) 4804(2) 4849(2) 4940(2) 6266(2) 6351(2) 6828(2) 7042(1) 7413(2) 8001(2) 8721(2) 8741(2) 9366(2) 11200(2) 11914(2) 14289(2) 15095(2) 15593(2)
14518;8;19;27;113(2) 545(2) 710(2) 1014(1) 6061(2) 7423(2) 8340(1) 9730(1) 9825(2) 10342(2) 10473(2) 11658(2) 11659(2) 11912(2) 12291(2) 12675(2) 12840(2) 13132(1) 13413(1) 13645(2) 14274(2) 14562(1) 14709(1) 14713(2) 14719(2) 15521(1) 15743(2)
36827;13;14;27;548(1) 1209(1) 1818(2) 3490(2) 3685(1) 3804(2) 4050(2) 4241(2) 4317(1) 5007(1) 5546(1) 5668(1) 6395(2) 6415(1) 6733(2) 7138(2) 8967(1) 9549(2) 11036(2) 11070(1) 11189(2) 11748(2) 11766(1) 11768(2) 11839(2) 12399(1) 13962(1)
27484;15;12;27;798(2) 1277(2) 1812(1) 1948(2) 4924(2) 5082(1) 5369(2) 5371(1) 5700(1) 5986(1) 9651(1) 10190(2) 10323(1) 10690(1) 11015(2) 12016(2) 13126(2) 13132(1) 13750(1) 13752(2) 13777(1) 13801(1) 14390(1) 15016(1) 15097(2) 15214(1) 15787(2)
544;0;27;27;675(2) 1776(2) 2192(2) 4325(2) 4331(2) 4845(2) 5591(2) 6546(2) 8970(2) 9535(2) 10185(2) 10515(2) 10604(2) 10718(2) 10719(2) 10969(2) 11500(2) 12266(2) 12312(2) 12381(2) 12477(2) 12478(2) 12585(2) 13106(2) 13114(2) 14001(2) 15454(2)
25691;8;19;27;1930(2) 2068(2) 2069(1) 2144(2) 2702(2) 4229(2) 4868(2) 5406(2) 6069(2) 6188(2) 6746(2) 8094(1) 8797(2) 9115(1) 9473(1) 10235(1) 10529(2) 10600(2) 11463(2) 12169(2) 13333(2) 13584(1) 13651(2) 14089(2) 14155(1) 15681(2) 15740(1)
13192;6;21;27;2063(2) 2085(2) 2332(2) 2866(1) 3157(1) 4403(2) 4631(1) 4903(2) 5072(2) 5077(2) 6608(2) 6802(2) 7483(2) 9217(2) 9223(2) 9742(1) 10225(2) 10657(2) 10664(2) 12236(2) 13048(2) 13215(1) 14007(2) 14469(2) 15301(1) 15536(2) 16031(2)
10192;11;16;27;27(1) 31(1) 44(2) 45(2) 46(2) 53(1) 55(1) 67(2) 68(2) 70(2) 71(2) 1216(1) 3257(1) 4496(1) 11307(2) 11325(2) 11609(2) 12352(1) 13031(1) 13485(2) 13523(2) 14191(1) 14889(1) 15197(2) 15601(2) 15648(2) 16034(2)
588;1;25;26;1834(2) 2650(2) 3297(2) 3557(2) 3558(2) 5437(2) 6122(2) 6123(2) 6130(2) 7047(2) 7880(1) 8643(2) 9004(2) 9100(2) 9295(2) 9646(2) 10144(2) 11002(2) 11533(2) 11752(2) 11753(2) 12328(2) 13686(2) 14573(2) 14758(2) 15376(2)
173;0;26;26;145(2) 548(2) 606(2) 1790(2) 3592(2) 3981(2) 4547(2) 4665(2) 4907(2) 6265(2) 6277(2) 6883(2) 7315(2) 7932(2) 9262(2) 9294(2) 9794(2) 9983(2) 10066(2) 10090(2) 11365(2) 11395(2) 12914(2) 13473(2) 15199(2) 15874(2)
5561;7;19;26;596(2) 1136(1) 1481(2) 2242(2) 2788(2) 2957(2) 3280(2) 3694(1) 5058(2) 5368(2) 5548(1) 5704(2) 6576(2) 7525(2) 8328(1) 8945(2) 9573(2) 10024(2) 10298(2) 10742(2) 11159(1) 12192(2) 13071(2) 14457(1) 14805(1) 15426(2)
4511;1;25;26;897(2) 1105(2) 1610(2) 2444(2) 2681(2) 3351(2) 3498(2) 4239(2) 4960(2) 5398(2) 5592(2) 6210(2) 6539(2) 6624(2) 8823(2) 9065(1) 10904(2) 12377(2) 13452(2) 13497(2) 14409(2) 14567(2) 14772(2) 14787(2) 15299(2) 15689(2)
34655;16;10;26;98(2) 1469(2) 1993(2) 2321(1) 3844(1) 4301(1) 4350(1) 4400(1) 4548(1) 5663(1) 5748(1) 5755(1) 7302(1) 7537(1) 7640(2) 8902(2) 9671(2) 11754(2) 12350(1) 12575(1) 13302(2) 13315(2) 14077(2) 14197(1) 14813(1) 15909(1)
7533;7;19;26;240(2) 435(2) 436(2) 636(1) 658(1) 1120(2) 1395(2) 2358(2) 3811(2) 4562(2) 5349(2) 5499(2) 6566(1) 6885(2) 7747(1) 7845(1) 10228(2) 10335(2) 11106(2) 11477(1) 11484(1) 12119(2) 12795(2) 13609(2) 14364(2) 15710(2)
46518;16;10;26;681(2) 1766(2) 1812(1) 2733(2) 3641(1) 4505(2) 7843(2) 7864(1) 9447(1) 10179(1) 10636(1) 10644(2) 10995(2) 12194(2) 12211(1) 12738(1) 13132(1) 13369(1) 13564(2) 13566(2) 13568(1) 13679(1) 13993(1) 14619(1) 15130(1) 15148(1)
46972;10;16;26;1458(2) 1759(2) 2052(2) 2118(2) 2802(2) 2835(2) 2919(1) 2920(1) 2978(1) 4081(1) 4138(2) 5079(2) 5283(2) 6076(2) 6441(1) 6937(1) 7777(1) 8600(2) 9326(2) 9455(2) 9511(1) 10858(2) 10928(2) 11417(1) 14051(2) 15456(1)
38730;15;11;26;90(1) 425(1) 426(1) 1114(2) 1299(2) 1683(1) 3396(1) 4111(1) 4267(2) 4878(2) 6024(1) 6492(2) 7842(1) 8999(1) 9653(2) 10097(1) 10111(1) 10205(1) 11711(2) 11830(1) 12467(2) 12850(2) 13878(2) 14233(1) 14497(1) 15879(2)
42784;17;9;26;308(1) 877(2) 1311(2) 1690(2) 7213(1) 7257(2) 7611(2) 7889(1) 8007(1) 8656(1) 9538(2) 9826(1) 10032(1) 10114(2) 10251(1) 10253(1) 12017(2) 12166(1) 12883(1) 13785(1) 14452(1) 14604(1) 15656(1) 15738(1) 15741(2) 15934(1)
4557;15;11;26;2483(1) 2604(1) 2719(1) 2983(1) 3444(1) 4678(2) 6708(1) 7114(2) 7240(1) 7287(2) 9346(1) 9493(2) 9591(1) 10633(1) 11041(2) 11064(1) 11209(2) 11376(2) 11560(2) 11736(2) 12476(1) 14359(1) 14638(1) 15066(2) 15400(1) 16023(2)
5276;8;17;25;751(2) 930(2) 1117(1) 2007(2) 3183(2) 4787(2) 4891(2) 4953(2) 5360(1) 5681(1) 6062(2) 6126(1) 6129(2) 7422(2) 7494(2) 7591(2) 8086(2) 9021(2) 10743(1) 13684(2) 13685(1) 13710(2) 13929(1) 15260(2) 15261(1)
3000;0;25;25;1699(2) 1912(2) 2075(2) 2536(2) 3437(2) 3994(2) 5492(2) 5759(2) 5904(2) 7875(2) 7876(2) 7921(2) 8387(2) 8519(2) 9598(2) 11545(2) 11653(2) 11738(2) 11810(2) 13174(2) 13703(2) 15225(2) 15251(2) 15276(2) 15677(2)
9713;1;24;25;82(2) 1256(2) 4037(2) 4309(2) 4353(2) 4800(2) 5018(2) 5217(2) 6918(2) 7106(2) 8090(1) 8456(2) 9995(2) 11785(2) 12059(2) 12092(2) 12103(2) 12154(2) 13755(2) 14546(2) 14638(2) 15046(2) 15047(2) 15440(2) 15995(2)
2243;2;23;25;847(2) 1782(2) 4393(2) 4700(2) 5770(1) 6447(2) 7396(2) 7402(2) 7408(2) 7678(2) 7905(2) 8789(2) 8852(2) 10249(2) 11187(2) 11718(2) 12349(2) 13193(2) 14751(2) 14752(2) 14753(2) 14754(2) 14755(2) 14908(1) 14977(2)
1359;1;24;25;376(2) 2661(2) 3321(2) 3323(2) 3327(2) 3854(2) 4017(2) 4316(2) 4318(1) 5409(2) 7218(2) 7997(2) 9031(2) 9956(2) 11548(2) 11555(2) 11557(2) 11559(2) 11561(2) 11565(2) 11760(2) 14898(2) 15198(2) 15834(2) 15988(2)
820;1;24;25;668(2) 735(2) 2303(2) 2958(2) 3313(2) 5168(2) 5170(2) 5583(2) 6878(2) 6903(2) 7220(2) 7610(1) 7915(2) 8495(2) 8496(2) 8511(2) 9072(2) 9073(2) 9798(2) 10004(2) 10831(2) 11372(2) 13531(2) 13532(2) 15810(2)
8184;13;12;25;1191(2) 2608(1) 2648(2) 3057(1) 4825(1) 6317(1) 7012(2) 7337(2) 7383(1) 8445(1) 8570(1) 9197(2) 11438(1) 11769(2) 12595(1) 12643(1) 12717(2) 12886(1) 13012(2) 13102(2) 13208(1) 13507(2) 14538(2) 15149(2) 15825(1)
11689;4;21;25;483(2) 908(2) 2306(2) 2396(2) 2508(2) 2986(2) 4881(2) 6818(2) 6853(2) 6917(2) 7605(2) 8254(1) 8255(2) 8886(2) 8887(2) 9839(2) 10027(1) 11089(1) 11353(2) 11735(2) 12735(2) 13028(2) 13582(2) 13724(1) 15725(2)
48597;8;17;25;283(1) 1612(2) 1696(2) 1731(2) 2307(2) 2576(2) 2793(1) 4171(1) 4561(2) 5633(1) 5700(2) 6329(2) 6993(2) 7103(2) 8244(2) 8836(1) 9728(2) 9862(2) 10203(2) 10639(1) 11319(1) 11483(2) 12003(2) 12356(2) 14390(1)
29290;12;13;25;1271(2) 2045(2) 2447(1) 2970(1) 4242(2) 7612(1) 8389(1) 9617(2) 9629(2) 10235(1) 10389(1) 10410(2) 10543(1) 11257(2) 11263(2) 11280(2) 11281(1) 12165(1) 12486(1) 13124(1) 13239(2) 14217(1) 14416(2) 14565(2) 15777(2)
10392;8;17;25;337(2) 513(2) 1666(2) 5005(2) 5391(1) 5480(1) 6029(2) 7018(2) 7484(2) 9204(2) 9546(2) 9666(2) 9931(2) 10562(2) 10716(1) 11121(2) 13097(2) 13365(1) 13925(1) 14260(1) 14567(1) 14772(1) 15001(2) 16019(2) 16037(2)
33102;8;17;25;753(2) 1453(2) 2370(2) 2488(2) 2591(2) 3728(2) 4782(2) 4830(2) 5279(2) 6229(1) 6398(1) 7501(2) 7910(2) 8903(1) 9013(1) 9077(1) 9127(1) 9211(2) 9964(1) 10597(2) 10874(1) 11011(2) 11289(2) 11616(2) 12550(2)
723;1;24;25;201(2) 263(2) 1698(2) 2831(2) 3085(2) 3093(2) 5841(2) 5903(2) 6327(2) 6992(2) 7869(2) 7901(2) 8031(2) 8134(2) 8732(2) 10852(2) 11284(2) 11288(2) 11311(2) 11347(2) 11606(2) 12829(2) 13132(1) 13292(2) 13466(2)
27278;10;15;25;404(2) 1139(1) 1319(2) 1565(2) 2069(1) 4250(1) 4704(1) 5470(1) 5855(1) 6898(2) 7187(2) 7207(2) 10272(2) 10382(2) 10936(2) 10937(2) 12410(2) 12597(1) 12626(1) 12876(2) 14558(2) 15351(2) 15429(2) 15681(1) 15740(1)
8735;11;14;25;1380(2) 1443(2) 3213(1) 4693(2) 5143(2) 6174(2) 7643(2) 8088(2) 8621(1) 8665(1) 10087(1) 10205(1) 11607(1) 11638(2) 11936(1) 12409(1) 12901(2) 13343(1) 13873(2) 14223(1) 14626(2) 14801(2) 15404(2) 15447(2) 15480(1)
39499;11;14;25;523(2) 611(2) 2110(2) 2378(1) 2689(2) 2893(2) 2995(1) 3355(2) 3639(1) 3787(2) 3800(2) 4333(2) 4392(1) 4639(2) 5626(1) 5956(1) 5972(2) 6138(2) 6160(2) 10642(1) 10733(1) 11259(2) 12258(1) 14750(1) 15788(1)
51824;12;13;25;402(2) 821(2) 1148(2) 1199(2) 1655(2) 2843(2) 3094(2) 3922(2) 4090(1) 4291(1) 4318(1) 4399(2) 5179(1) 5838(2) 5940(2) 7226(1) 8577(2) 8774(1) 9446(1) 12883(1) 14107(1) 14335(1) 15098(1) 15144(2) 15656(1)
306;4;20;24;657(2) 2106(2) 2244(2) 2398(2) 2622(2) 5408(2) 6923(2) 7312(1) 7725(2) 7990(2) 9187(2) 9804(2) 10112(2) 10338(1) 10478(2) 10500(2) 10658(1) 10769(2) 11091(1) 12431(2) 12733(2) 13952(2) 15213(2) 15221(2)
2444;1;23;24;537(2) 799(2) 1056(2) 1533(1) 4410(2) 4455(2) 5528(2) 5825(2) 5901(2) 7255(2) 7509(2) 7988(2) 8663(2) 8871(2) 9082(2) 9164(2) 9529(2) 9577(2) 9812(2) 9986(2) 12413(2) 12809(2) 15181(2) 15939(2)
21176;4;20;24;111(1) 1215(2) 1335(2) 1502(2) 2002(2) 2023(1) 2449(2) 2898(2) 2927(2) 3154(2) 3863(2) 3983(2) 4270(2) 4664(1) 4947(2) 5984(2) 7048(2) 7649(2) 7650(1) 9393(2) 11705(2) 11719(2) 12475(2) 14338(2)
4860;1;23;24;236(2) 300(2) 329(2) 1279(2) 1316(2) 2253(2) 2857(2) 3264(2) 3680(2) 3943(2) 4144(2) 5119(2) 5360(2) 7591(1) 7872(2) 8046(2) 10018(2) 10467(2) 12105(2) 12136(2) 12202(2) 12253(2) 13929(2) 15261(2)
1013;1;23;24;371(2) 1287(2) 1352(2) 1354(2) 1381(2) 1849(2) 1969(2) 3079(2) 3286(2) 3287(2) 3347(2) 5417(2) 5921(2) 6784(2) 7397(2) 7431(2) 8015(2) 8749(2) 10042(2) 10077(2) 10120(1) 10166(2) 14991(2) 15437(2)
21877;7;17;24;366(1) 461(2) 1550(2) 1560(2) 2218(1) 4228(2) 4271(1) 4585(2) 5184(2) 5457(2) 5996(2) 6258(2) 6695(1) 7684(2) 7870(2) 8781(2) 10235(2) 10737(1) 12862(2) 14155(1) 14186(1) 15211(2) 15807(2) 15932(2)
24573;4;20;24;863(2) 996(2) 1333(1) 1373(2) 1420(2) 1428(2) 1429(1) 1431(2) 1552(2) 2592(2) 3028(2) 3418(2) 5341(2) 6028(2) 6419(2) 7741(1) 8926(1) 10310(2) 10582(2) 11824(2) 12163(2) 13934(2) 14156(2) 14610(2)
2484;2;22;24;149(2) 872(2) 2432(2) 2640(2) 4507(2) 6247(2) 6831(2) 7937(2) 7963(2) 7964(2) 7972(2) 8235(2) 9165(1) 9585(2) 10493(2) 12053(2) 12256(1) 13335(2) 14295(2) 15053(2) 15281(2) 16005(2) 16038(2) 16043(2)
49669;15;9;24;800(1) 2727(1) 3180(2) 4318(1) 5092(2) 5137(1) 5451(1) 5755(1) 5911(2) 7655(1) 9374(1) 9818(2) 10958(1) 11105(1) 11176(2) 11887(1) 11972(2) 12870(1) 13132(1) 13772(2) 14122(2) 14454(2) 14940(1) 15864(1)
11907;11;13;24;977(1) 1507(2) 1644(2) 2215(1) 2216(1) 2633(2) 2657(1) 2685(1) 3241(1) 4151(1) 4152(2) 5675(2) 6863(2) 7665(1) 8177(1) 8936(1) 9766(2) 10539(2) 11315(2) 12128(2) 12160(2) 13183(2) 14044(2) 14501(1)
28026;13;11;24;112(1) 683(2) 2695(2) 3360(2) 3555(1) 3751(2) 4409(1) 5056(1) 6554(1) 7180(1) 8013(1) 8249(1) 9062(2) 9441(1) 9519(1) 9893(1) 11403(2) 11452(2) 12624(2) 12881(2) 13508(1) 13632(1) 15380(2) 15525(2)
162;1;23;24;1220(2) 2949(2) 3889(2) 4339(1) 4746(2) 5073(2) 5198(2) 5199(2) 5204(2) 5471(2) 5674(2) 6521(2) 6795(2) 10816(2) 11853(2) 12921(2) 12922(2) 12927(2) 12930(2) 12974(2) 12977(2) 13602(2) 15274(2) 15730(2)
3154;3;21;24;1058(2) 1103(2) 1398(1) 3455(2) 3703(2) 3718(2) 3831(2) 5707(2) 6011(2) 6740(2) 6829(2) 8846(2) 9086(2) 9110(2) 9170(2) 10677(1) 11466(2) 13551(2) 13770(1) 14072(2) 14075(2) 14113(2) 15110(2) 15381(2)
5965;4;20;24;732(2) 1289(2) 1374(2) 2728(1) 3556(2) 4206(2) 4411(2) 5224(2) 6887(1) 7321(1) 8037(2) 8404(2) 9280(2) 10129(2) 10294(2) 11255(2) 11351(2) 11829(2) 12186(2) 12187(2) 12188(2) 12189(2) 12549(2) 14542(1)
7307;4;20;24;926(2) 1804(2) 1874(2) 2914(2) 3215(2) 3516(2) 4106(2) 4350(1) 4826(2) 4886(2) 5451(1) 6598(1) 6674(2) 7133(2) 7637(2) 8188(2) 8735(2) 9902(2) 10420(2) 11682(2) 11717(2) 12079(2) 13909(1) 14545(2)
8302;5;19;24;1153(2) 1382(2) 2988(1) 3342(2) 3956(1) 4116(2) 5025(2) 6723(2) 6860(2) 7190(2) 7451(2) 7732(2) 9063(1) 10697(2) 10702(2) 11924(2) 12200(2) 12373(2) 13137(1) 13446(2) 13674(2) 14000(1) 14621(2) 14837(2)
23568;18;6;24;170(2) 348(1) 1330(1) 1336(1) 2184(1) 2501(1) 3350(1) 3855(2) 3926(1) 4021(2) 4280(1) 4301(1) 4350(1) 4753(1) 5196(1) 5748(1) 8171(1) 10474(2) 10755(1) 11942(2) 12277(1) 12417(1) 12863(2) 15882(1)
21188;10;14;24;2729(1) 3582(2) 3956(1) 4131(1) 4665(1) 4907(1) 5687(2) 5839(2) 6116(2) 6550(2) 6787(2) 7380(2) 7618(2) 8187(2) 8365(2) 8905(2) 9314(2) 9602(2) 11227(1) 13446(1) 14000(1) 14965(1) 15104(1) 15540(2)
39354;15;9;24;89(1) 92(1) 380(1) 495(1) 764(1) 1606(2) 2321(1) 2915(2) 3181(2) 4286(2) 5375(1) 5663(1) 7027(2) 7362(1) 9445(1) 9668(1) 9690(1) 11676(1) 13244(2) 13445(2) 14232(2) 14320(1) 14523(2) 15633(1)
715;0;23;23;250(2) 388(2) 564(2) 684(2) 2176(2) 3659(2) 3827(2) 3851(2) 4084(2) 4095(2) 4119(2) 5565(2) 5654(2) 5708(2) 7183(2) 11417(2) 11418(2) 12019(2) 12090(2) 12091(2) 12108(2) 12110(2) 15656(2)
6353;8;15;23;1089(1) 1135(2) 2624(2) 3054(2) 4660(1) 5465(2) 5665(2) 7559(2) 7900(2) 10020(2) 10048(1) 10495(2) 10635(1) 11225(2) 11685(2) 11920(2) 12280(1) 13425(1) 14018(1) 14283(2) 14793(2) 14814(1) 16016(2)
958;0;23;23;733(2) 1772(2) 2039(2) 2049(2) 2062(2) 2107(2) 2737(2) 3117(2) 3825(2) 4147(2) 4493(2) 4625(2) 4626(2) 5066(2) 6700(2) 7566(2) 7719(2) 10578(2) 10620(2) 11825(2) 12514(2) 12794(2) 14280(2)
326;1;22;23;484(1) 741(2) 882(2) 3900(2) 4328(2) 5997(2) 6260(2) 6684(2) 6748(2) 6749(2) 6750(2) 6751(2) 8426(2) 9102(2) 9890(2) 11750(2) 13310(2) 13627(2) 13986(2) 14183(2) 14200(2) 15267(2) 15791(2)
26632;11;12;23;444(2) 1530(2) 3493(1) 3655(2) 4111(1) 4580(1) 5806(2) 5812(2) 6739(1) 7842(1) 8555(2) 8879(1) 8999(2) 11651(2) 12041(1) 13020(2) 13143(1) 13296(1) 13665(2) 13673(1) 14618(2) 14652(1) 15258(2)
37756;14;9;23;334(1) 508(2) 1732(1) 1880(2) 2587(2) 5191(1) 5925(1) 6059(1) 6385(1) 7084(2) 7132(2) 7763(2) 7979(1) 8245(2) 8526(1) 8711(1) 9384(1) 10870(2) 12960(1) 13337(1) 13494(1) 14109(2) 15387(1)
8582;17;6;23;3204(2) 4930(1) 6285(1) 7336(1) 7341(1) 7811(2) 8103(1) 9243(2) 10441(1) 11115(1) 11116(1) 11605(1) 11740(1) 12563(1) 12759(1) 13350(1) 14238(2) 14316(2) 14762(1) 15067(2) 15216(1) 15590(1) 15636(1)
33488;15;8;23;308(1) 1079(1) 2596(2) 3455(1) 4643(1) 4661(1) 5009(2) 5107(1) 5189(1) 5609(2) 6145(2) 6349(1) 6353(1) 7681(1) 8245(1) 8563(1) 9234(2) 9786(2) 10949(2) 12658(2) 12883(1) 13508(1) 13870(1)
44012;15;8;23;1729(2) 4034(2) 4318(1) 5401(1) 7523(1) 7541(1) 7592(2) 7655(1) 9096(2) 9389(2) 10212(1) 10927(2) 11103(1) 11345(2) 13132(1) 13217(1) 13367(1) 13825(1) 14096(1) 14851(1) 15114(1) 15720(1) 15860(2)
10545;3;20;23;792(2) 1182(2) 1317(2) 2933(2) 3300(2) 3697(2) 4358(2) 5813(2) 7161(2) 7250(2) 8701(2) 10111(1) 10681(2) 10720(1) 12278(2) 12319(2) 12452(2) 12765(2) 12792(2) 13973(2) 14748(2) 14802(1) 15705(2)
1435;3;20;23;955(2) 1024(1) 1461(2) 3610(2) 3802(2) 4030(2) 4031(2) 4384(2) 6699(2) 7758(2) 9823(2) 9827(2) 10336(2) 10518(1) 12046(2) 12051(2) 12063(2) 12476(1) 13151(2) 13253(2) 13663(2) 15119(2) 15294(2)
4054;9;14;23;455(1) 505(2) 538(2) 852(2) 2774(2) 3497(2) 3507(2) 3748(1) 3753(2) 4314(1) 4590(2) 5122(1) 6226(1) 6678(2) 6953(1) 7278(1) 8075(2) 8476(2) 9735(2) 11670(2) 11876(1) 12272(1) 15458(2)
5032;2;20;22;22(2) 484(2) 1130(2) 2089(2) 2788(1) 3694(2) 5548(2) 7518(2) 7700(2) 8328(2) 8431(2) 8787(2) 9166(1) 11159(2) 12318(2) 12604(2) 13118(2) 14019(2) 14457(2) 14805(2) 15271(2) 15935(2)
420;3;19;22;694(2) 1339(2) 2274(2) 2276(2) 2277(2) 2460(2) 2943(1) 3167(2) 3172(2) 3588(2) 5966(2) 6793(2) 6794(2) 8723(1) 9292(2) 10843(2) 10902(2) 11767(1) 11964(2) 14897(2) 15173(2) 15930(2)
5011;1;21;22;476(2) 1412(2) 2653(1) 3266(2) 3637(2) 3924(2) 4145(2) 4691(2) 8349(2) 8401(2) 8408(2) 8411(2) 8412(2) 8438(2) 8485(2) 9010(2) 9543(2) 10783(2) 12629(2) 15443(2) 15584(2) 15585(2)
6550;9;13;22;744(2) 1020(2) 2057(2) 2273(2) 2372(2) 2960(1) 4510(2) 5041(1) 5135(1) 6961(2) 7086(1) 7783(2) 8398(2) 8958(1) 9150(2) 11465(2) 11573(1) 11600(1) 11993(2) 12590(2) 14516(1) 14878(1)
36090;8;14;22;184(2) 346(2) 427(2) 432(2) 1212(2) 2113(2) 2198(1) 2800(1) 2842(2) 4634(1) 5730(1) 6457(2) 9168(1) 9404(2) 9430(1) 9652(2) 11106(1) 12304(2) 12326(2) 13609(1) 14841(2) 14915(2)
34621;10;12;22;349(1) 973(2) 1601(2) 2337(2) 2637(1) 2757(2) 3058(2) 3307(1) 4318(1) 4511(2) 5815(2) 8355(1) 9130(1) 9446(1) 11165(2) 11617(2) 12958(2) 14452(2) 15024(2) 15111(1) 15656(1) 15942(1)
8324;15;7;22;1266(2) 2168(2) 2483(1) 2959(1) 3276(2) 5477(2) 6603(2) 7240(1) 7294(2) 9346(1) 10273(2) 10274(1) 10375(1) 10390(1) 10633(1) 10748(1) 12951(1) 14359(1) 15000(1) 15123(1) 15400(1) 15592(1)
3764;1;21;22;670(2) 1884(2) 2039(1) 2066(2) 2109(2) 2111(2) 3062(2) 3170(2) 3489(2) 3699(2) 3700(2) 3801(2) 4994(2) 5201(2) 5435(2) 6518(2) 7254(2) 7372(2) 11827(2) 12938(2) 15479(2) 16039(2)
43062;7;15;22;944(2) 1209(1) 3490(1) 3602(2) 4508(2) 5653(2) 5907(2) 6332(2) 6654(2) 7781(2) 8567(2) 8967(2) 10933(1) 11147(2) 11995(1) 13050(2) 13132(1) 13491(2) 13897(1) 13935(1) 14263(2) 15456(2)
17355;8;14;22;1152(1) 2332(1) 4403(1) 6270(2) 6726(1) 7521(2) 8097(1) 8346(2) 9733(2) 10432(2) 10560(2) 10811(2) 10945(2) 12303(1) 13128(1) 13407(2) 13773(2) 13835(1) 14541(2) 14633(2) 14707(2) 14804(2)
10981;3;19;22;363(2) 385(2) 1904(2) 1920(2) 4706(2) 5236(2) 6687(2) 7300(2) 7570(1) 7793(2) 7913(2) 8770(1) 9369(1) 9674(2) 9701(2) 10229(2) 10857(2) 11131(2) 12075(2) 12384(2) 14721(2) 15726(2)
9406;8;14;22;1757(2) 2072(2) 2848(2) 3057(1) 4617(1) 5223(2) 6164(1) 7452(1) 7631(2) 7875(1) 8387(1) 9919(2) 10795(2) 11455(2) 11498(2) 11499(2) 12595(1) 12886(1) 12943(2) 13184(2) 14162(2) 15143(2)
19556;11;11;22;795(1) 1322(1) 1976(1) 3153(1) 3504(1) 3845(2) 3982(1) 4864(1) 5500(1) 5853(2) 5897(2) 6181(2) 7523(1) 7542(2) 7543(2) 8413(2) 8668(2) 10814(2) 13217(1) 14096(1) 14851(2) 15114(2)
25359;14;8;22;463(1) 2483(1) 4240(1) 5478(1) 5529(2) 7665(1) 8971(2) 9940(2) 10946(2) 11376(1) 11584(2) 12111(1) 12247(2) 12491(2) 12717(1) 12882(1) 14526(1) 15401(1) 15636(1) 16022(2) 16047(1) 16048(1)
18763;5;17;22;1194(2) 1716(2) 2874(2) 2905(2) 3288(2) 3450(2) 4204(2) 5083(2) 6360(2) 6607(2) 6701(2) 7026(2) 7381(1) 7917(2) 8032(2) 8138(1) 12004(2) 12258(1) 13356(1) 14014(2) 14363(2) 15909(1)
29670;15;7;22;800(1) 1909(1) 1933(2) 2922(2) 2978(1) 3227(1) 3689(1) 4318(1) 6871(2) 6963(2) 8384(2) 10490(1) 11392(1) 11989(1) 12152(2) 12275(2) 12741(1) 12870(1) 13132(1) 13631(1) 15707(1) 15744(1)
15063;2;20;22;228(2) 306(2) 2652(1) 3407(2) 3978(2) 4681(2) 4828(2) 6721(2) 7191(2) 7329(2) 7935(2) 8047(2) 9167(2) 10340(2) 11183(1) 11453(2) 11637(2) 14081(2) 15160(2) 15290(2) 15304(2) 15716(2)
25315;11;11;22;2312(1) 2456(2) 3091(1) 4629(2) 8977(2) 10463(2) 10931(2) 10934(1) 11416(1) 12069(2) 12464(1) 12515(2) 12678(1) 12874(1) 13201(2) 13613(2) 13923(2) 14864(1) 14880(1) 15251(1) 15731(1) 15980(2)
64092;12;10;22;5824(2) 5831(2) 5947(2) 7599(1) 7665(1) 7699(1) 9048(1) 9303(2) 9450(2) 10951(1) 11422(1) 12084(2) 12334(1) 12522(1) 12626(1) 13280(1) 13725(2) 13839(2) 13840(2) 14838(2) 14994(1) 15636(1)
2555;5;17;22;359(2) 698(1) 711(2) 1733(2) 2855(2) 5176(2) 6825(2) 7655(1) 8216(2) 8291(1) 9287(2) 9370(2) 10267(1) 10953(2) 11104(2) 11885(2) 12049(2) 12615(2) 12905(2) 12994(2) 14722(2) 15177(1)
1806;0;21;21;631(2) 750(2) 1110(2) 2151(2) 2466(2) 2731(2) 3104(2) 3873(2) 5543(2) 6102(2) 6462(2) 7122(2) 7391(2) 7392(2) 7393(2) 8078(2) 8641(2) 8869(2) 9788(2) 11488(2) 16036(2)
1091;13;8;21;1792(2) 2004(2) 7556(1) 7868(1) 7934(1) 8598(1) 9317(1) 9334(2) 9651(1) 10835(1) 11506(1) 11988(1) 12818(2) 13416(2) 13791(2) 14099(1) 14247(1) 15140(1) 15756(1) 15811(2) 15865(2)
738;2;19;21;362(2) 1931(2) 2139(2) 2140(1) 2141(2) 2585(2) 3541(2) 4729(2) 4809(2) 7030(2) 7039(2) 7327(2) 7702(2) 9172(2) 10683(2) 10684(2) 10741(2) 12908(2) 14194(2) 14727(1) 15549(2)
1164;2;19;21;282(2) 2001(2) 2684(2) 3656(2) 6075(1) 7394(2) 7410(1) 8531(2) 12029(2) 12030(2) 12350(2) 12522(2) 12821(2) 12855(2) 13393(2) 13647(2) 13707(2) 13875(2) 14196(2) 14498(2) 15869(2)
8555;1;20;21;158(2) 893(2) 2666(2) 3730(2) 7158(2) 7159(2) 7160(2) 7506(2) 7668(2) 9151(2) 9692(2) 9969(1) 12518(2) 14548(2) 14775(2) 14814(2) 14817(2) 14830(2) 14843(2) 14917(2) 15374(2)
